ProduktID,Kurztext,Langtext
0,Dummy,NULL
1,"Acer TM C104TCi Tablet PC","900-MHz PIII-M 256 MB RAM 40 GB Hard Drive"
2,"Acer TravelMate 233XV Notebook","20-GHz Celeron-M 256 MB RAM 30 GB Hard Drive DVD Drive"
3,"Acer TravelMate 281XV Notebook","180-GHz Pentium 4-M 256 MB RAM 30 GB Hard Drive DVD Drive"
4,"Acer TravelMate TM233XVi Notebook PC","20-GHz Celeron-M 256 MB RAM 30 GB Hard Drive"
5,"Acer TravelMate TM234LCi Notebook PC","22-GHz Celeron-M 512 MB RAM 40 GB Hard Drive"
6,"Acer TravelMate TM803LCi Notebook","160-GHz Pentium-MCentrino 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive"
7,"Apple iBook Notebook 141 M9009LL/A","900-MHz PowerPC G3 256 MB RAM 40 GB Hard Drive"
8,"Apple PowerBook Notebook 121 M9092LL/A","867-MHz PowerPC G4 256 MB RAM 40 GB Hard Drive DVD-RW/CD-RW Drive"
9,"Apple PowerBook Notebook 121 Z07B","867-MHz PowerPC G4 256 MB RAM 40 GB Hard Drive DVD-RW/CD-RW Drive"
10,"Apple Powerbook Notebook 152 M8859LL/A","10-GHz PowerPC G4 512 MB RAM 60 GB Hard Drive DVD-RW/CD-RW Drive"
11,"Apple PowerBook Notebook 17 M8793LL/A","10-GHz PowerPC G4 512 MB RAM 60 GB Hard Drive DVD-RW/CD-RW Drive"
12,"Compaq Presario 1215 Notebook","1-GHz Athlon 128 MB RAM 20 GB hard drive"
13,"Compaq Presario 2170US Notebook PC","20-GHz Celeron 256 MB RAM 40 GB Hard DriveDVD/CD-RW Drive"
14,"Compaq Presario 2535QV Notebook PC","24-GHz Pentium 4 256 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
15,"Compaq TC1000T Tablet PC 470045-149","10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive"
16,"Compaq TC1000T Tablet PC 470045-236","10-GHz Transmeta Crusoe 256 MB RAM 30 GB Hard Drive"
17,"HP Pavilion xt5335qv Notebook PC","253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive"
18,"HP Pavilion ze5375us Notebook PC","240-GHz Pentium 4 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
19,"HP Pavilion ze5385us Notebook PC","260-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive"
20,"IBM ThinkPad R40 (27232FU) Notebook","130-GHz Pentium-M Centrino 256 MB RAM 20 GB Hard Drive DVD-ROM Drive"
21,"IBM ThinkPad R40 (27233XU) Notebook","130-GHz Pentium-M Centrino 256 MB RAM 40 GB hard Drive DVD/CD-RW Drive"
22,"IBM ThinkPad T40 ( 23734CU ) Notebook","150-GHz Pentium-M Centrino 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
23,"IBM Thinkpad T40 Notebook","150-GHz Pentium-M Centrino 256 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
24,"Sony VAIO PCG-FRV25 Notebook","266-GHz Pentium 4 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
25,"Sony VAIO PCG-GRT170 Notebook","280-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVDRW/CD-RW Drive"
26,"Sony VAIO PCG-GRX770 Notebook","22 GHz Pentium 4-M 512 MB RAM 40 GB Hard Drive"
27,"Sony VAIO PCG-TR1A Notebook PC","900-MHz Pentium-M Centrino 512 MB RAM 30 GB Hard Drive DVD/CD-RW Drive"
28,"Sony VAIO PCG-TR1AP Notebook PC","900-MHz Pentium-M Centrino 512 MB RAM 30 GB Hard Drive DVD/CD-RW Drive"
29,"Sony VAIO PCG-V505AXP Notebook","180-GHz Pentium 4-M 512 MB RAM 30 GB Hard Drive"
30,"Sony VAIO PCG-V505BXP Notebook","20-GHz Pentium 4-M 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
31,"Toshiba Portege 3505 Tablet PC","133-GHz Pentium III 512 MB RAM 40 GB Hard Drive"
32,"Toshiba Satellite 1135-S125 Notebook","180-GHz Celeron 256 MB RAM 30 GB Hard Drive DVD/CD-RW Drive"
33,"Toshiba Satellite 5205-S505 Notebook","220-GHz Pentium 4-M 512 MB RAM 60 GB Hard Drive"
34,"Toshiba Satellite 5205-S705 Notebook","24-GHz Pentium 4-M Media Center 512 MB RAM 60 GB Hard Drive"
35,"Toshiba Satellite A15-S157 Notebook","220-GHz Celeron 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive"
36,"Toshiba Satellite A25-207 Notebook PC","266-GHz Pentium 4 512 MB RAM 40 GB Hard Drive"
37,"Toshiba Satellite A25-307 Notebook PC","280-GHz Pentium 4 512 MB RAM 60 GB Hard Drive"
38,"Apple eMac Desktop 17 M8951LL/A","10-GHz PowerPC G4 256 MB RAM 80 GB Hard Drive DVD-RW/CD-RW Drive"
39,"Apple iMac Desktop with 17 M8935LL/A","10-GHz PowerPC G4 256 MB RAM 80 GB Hard Drive DVD-RW/CD-RW Drive"
40,"Apple Power Mac Desktop M8839LL/A","10-GHz PowerPC G4 256 MB RAM 60 GB Hard Drive DVD/CD-RW Drive"
41,"Apple Power Mac Desktop M9031LL/A","180-GHz PowerPC G5 512 MB RAM 160 GB Hard Drive DVD-R/CD-RW Drive"
42,"Apple Power Mac Desktop M9032LL/A","20-GHz PowerPC G5 512 MB RAM 160 GB Hard Drive DVD-R/CD-RW Drive"
43,"Apple Power Mac Desktop M9145LL/A","125-GHz PowerPC G4 256 MB RAM 80 GB Hard Drive DVD/CD-RW Drive"
44,"Compaq Presario 6400NX Desktop PC","153 GHz Athlon XP 1800 128MB RAM 40GB hard drive"
45,"Compaq Presario S3000NX Desktop PC","167-GHz Athlon XP 2000 256 MB RAM 40 GB Hard Drive CD-RW Drive"
46,"Compaq Presario S4000NX Desktop PC","240-GHz Celeron 128 MB RAM 40 GB Hard Drive CD-RW Drive"
47,"Compaq Presario S4100nx Desktop PC","250-GHz Celeron 256 MB RAM 80 GB Hard Drive DVD/CD-RW Drive"
48,"Compaq Presario S4200nx Desktop PC","260-GHz Celeron 512 MB RAM 120 GB Hard Drive DVD-ROM Drive CD-RW Drive"
49,"Compaq Presario S4300NX Desktop PC","240-GHz Pentium 4 Hyper-Threading 512 MB RAM 120 GB Hard Drive DVD Drive CD-RW"
50,"HP Pavilion 514n Desktop PC","22 GHz Celeron 256MB RAM 60GB hard drive"
51,"HP Pavilion 515n Desktop PC","230-GHz Celeron 256 MB RAM 80 GB Hard Drive DVD Drive CD-RW Drive"
52,"HP Pavilion 735n Desktop PC","2133-GHz Athlon XP 2600 512 MB RAM 80 GB Hard Drive DVD?RW Drive CD-ROM Drive"
53,"HP Pavilion a200n Desktop PC","240-GHz Celeron 256 MB RAM 40 GB Hard Drive CD-RW Drive"
54,"HP Pavilion a210n Desktop PC","250-GHz Celeron 256 MB RAM 80 GB Hard DriveDVD-ROM Drive CD-RW Drive"
55,"HP Pavilion a220n Desktop PC","208-GHz Athlon XP 2600 512 MB RAM 120 GB Hard Drive DVD-ROM Drive CD-RW Drive"
56,"HP Pavilion a230n Desktop PC","208-GHz Athlon XP 2800 512 MB RAM 120 GB Hard Drive DVD?RW Drive CD-ROM Drive"
57,"HP Pavilion a250n Desktop PC","260-GHz Pentium 4 Hyper-Threading 512 MB RAM 120 GB Hard Drive DVD?RW Drive"
58,"Sony VAIO PCV-RS310 Desktop","240-GHz Pentium 4 256 MB RAM 80 GB Hard Drive DVD-RW/CD-RW Drive CD-ROM Drive"
59,"Sony VAIO PCV-RX650 Desktop","16-GHz Pentium 4 512 MB RAM 80 GB hard drive"
60,"Sony VAIO PCV-RX742 Desktop","14 GHz Athlon 1600 256 MB DDR RAM 60 GB hard drive"
61,"Sony VAIO PCV-RX780G Desktop","22 GHz Pentium 4 512 MB DDR RAM 120 GB hard drive"
62,"Sony VAIO PCV-RZ26G Desktop","306-GHz Pentium 4 Hyper-Threading 10 GB RAM 160 GB Hard Drive"
63,"Sony VAIO PCV-RZ32G Desktop","260-GHz Pentium 4 Hyper-Threading 512 MB RAM 80 GB Hard Drive DVDRW/CD-RW Drive"
64,"Sony VAIO PCV-RZ34G Desktop","280-GHz Pentium 4 Hyper-Threading 512 MB RAM 120 GB Hard Drive DVDRW/CD-RW  CD-ROM"
65,"Sony VAIO PCV-W30 Desktop","20-GHz Pentium 4 512 MB RAM 80 GB Hard Drive DVD/CD-RW Drive"
66,"Casio Cassiopeia BE-300 Pocket Manager","No Description"
67,"Casio Cassiopeia E-125 Color Pocket PC","No Description"
68,"Casio Cassiopeia E-200 Pocket PC","No Description"
69,"Casio Cassiopeia EM-500 Color Pocket PC","No Description"
70,"Casio Cassiopeia PV-S400Plus Pocket Viewer","No Description"
71,"Casio Cassiopeia PV-S600Plus Pocket Viewer","No Description"
72,"Compaq iPAQ 3135 Monochrome Pocket PC Bundle","No Description"
73,"Compaq iPAQ 3150 Monochrome Pocket PC","No Description"
74,"Compaq iPAQ 3635 Pocket PC Bundle","No Description"
75,"Compaq iPAQ 3650 Color Pocket PC","No Description"
76,"Compaq iPAQ 3670 Color Pocket PC","No Description"
77,"Compaq iPAQ 3765 Color Pocket PC","No Description"
78,"Compaq iPAQ 3955 Color Pocket PC","No Description"
79,"Compaq iPAQ 3955 Color Pocket PC","No Description"
80,"HP Jornada 420 Palm-Size PC","No Description"
81,"HP Jornada 564","No Description"
82,"HP Jornada 568 Pocket PC","No Description"
83,"HP Jornada 680 Handheld PC","No Description"
84,"HP Jornada 720 Handheld PC","No Description"
85,"HP Jornada 728","No Description"
86,"HP iPAQ 1945 Pocket PC","No Description"
87,"HP iPAQ 2215 Pocket PC","No Description"
88,"HP iPAQ 5455 Pocket PC","No Description"
89,"HP iPaq 5555 Pocket PC","No Description"
90,"Sony Clie PEG-NX60 (Silver) Handheld","No Description"
91,"Sony Clie PEG-NX70V (Silver) Handheld","No Description"
92,"Sony Clie PEG-NX73V Handheld","No Description"
93,"Sony Clie PEG-NX80V (Silver) Handheld","No Description"
94,"Sony Clie PEG-NZ90 Handheld","No Description"
95,"Sony Clie PEG-SJ20 Handheld","No Description"
96,"Sony Clie PEG-SJ22 Handheld","No Description"
97,"Sony Clie PEG-SJ33/UL Handheld - Blue","No Description"
98,"Sony CLIE PEG-T615C/S Handheld (Silver)","No Description"
99,"Sony CLIE PEG-T665C/U Handheld","No Description"
